tag,equipment_module,signal_type,io_address,description,is_safety
"Carriage_Brake_Fault","Carriage Brake","DI","%I0.0","Carriage Brake Fault","No"
"Carriage_Brake_Open","Carriage Brake","DI","%I0.1","Carriage Brake Open","No"
"Carriage_Brake_Rel","Carriage Brake","DI","%I0.2","Carriage Brake Rel","No"
"CM1_Run","Carriage Drive","DI","%I0.3","CM1 Run","No"
"CM1_Fault","Carriage Drive","DI","%I0.4","CM1 Fault","No"
"CM1_Therm","Carriage Drive","DI","%I0.5","CM1 Therm","No"
"CM2_Run","Carriage Drive","DI","%I0.6","CM2 Run","No"
"CM2_Fault","Carriage Drive","DI","%I0.7","CM2 Fault","No"
"CM2_Therm","Carriage Drive","DI","%I1.0","CM2 Therm","No"
"CM3_Run","Carriage Drive","DI","%I1.1","CM3 Run","No"
"CM3_Fault","Carriage Drive","DI","%I1.2","CM3 Fault","No"
"CM3_Therm","Carriage Drive","DI","%I1.3","CM3 Therm","No"
"CM4_Run","Carriage Drive","DI","%I1.4","CM4 Run","No"
"CM4_Fault","Carriage Drive","DI","%I1.5","CM4 Fault","No"
"CM4_Therm","Carriage Drive","DI","%I1.6","CM4 Therm","No"
"BR1_Fault","Carriage Drive","DI","%I1.7","BR1 Fault","No"
"VSD1_CB_Trip","Carriage Drive","DI","%I2.0","VSD1 CB Trip","No"
"VSD1_Speed_Ref","Carriage Drive","AO","%QW00","VSD1 Speed Ref","No"
"VSD1_Speed_Fb","Carriage Drive","AI","%IW00","VSD1 Speed Fb","No"
"Long_Limit_Stop","Carriage Limits","DI","%I2.1","Long Limit Stop","No"
"Fwd_Carriage","Carriage Pendant","DI","%I2.2","Fwd Carriage","No"
"Fwd_Fast_Carriage","Carriage Pendant","DI","%I2.3","Fwd Fast Carriage","No"
"Rev_Carriage","Carriage Pendant","DI","%I2.4","Rev Carriage","No"
"Rev_Fast_Carriage","Carriage Pendant","DI","%I2.5","Rev Fast Carriage","No"
"EStop_Healthy","E-Stop Circuit","DI","%I2.6","EStop Healthy","Yes"
"MS1_Healthy","E-Stop Circuit","DI","%I2.7","MS1 Healthy","Yes"
"SR1_Healthy","E-Stop Circuit","DI","%I3.0","SR1 Healthy","Yes"
"Reset_PB","E-Stop Circuit","DI","%I3.1","Reset PB","No"
"Reset_Safety","E-Stop Circuit","DI","%I3.2","Reset Safety","Yes"
"ECB_Trip","Power Distribution","DI","%I3.3","ECB Trip","No"
"Reset_ECB","Power Distribution","DI","%I3.4","Reset ECB","No"
"Rot_Brake_Fault","Rotator Brake","DI","%I3.5","Rot Brake Fault","No"
"Rot_Brake_Open","Rotator Brake","DI","%I3.6","Rot Brake Open","No"
"M5_Therm","Rotator Drive","DI","%I3.7","M5 Therm","No"
"BR2_Fault","Rotator Drive","DI","%I4.0","BR2 Fault","No"
"VSD2_CB_Trip","Rotator Drive","DI","%I4.1","VSD2 CB Trip","No"
"VSD2_Speed_Ref","Rotator Drive","AO","%QW02","VSD2 Speed Ref","No"
"VSD2_Speed_Fb","Rotator Drive","AI","%IW02","VSD2 Speed Fb","No"
"Rot_Right","Rotator Pendant","DI","%I4.2","Rot Right","No"
"Rot_Right_Fast","Rotator Pendant","DI","%I4.3","Rot Right Fast","No"
"Rotate_Left","Rotator Pendant","DI","%I4.4","Rotate Left","No"
"Rotate_Left_Fast","Rotator Pendant","DI","%I4.5","Rotate Left Fast","No"
"Travel_Horn","Travel Indicators","DO","%Q0.0","Travel Horn","No"
"Travel_Strobe","Travel Indicators","DO","%Q0.1","Travel Strobe","No"
"Spare_DI_c1","Spare","DI","%I4.6","Spare DI c1","No"
"Spare_DI_c2","Spare","DI","%I4.7","Spare DI c2","No"
"Spare_DI_c3","Spare","DI","%I5.0","Spare DI c3","No"
"Spare_DI_c4","Spare","DI","%I5.1","Spare DI c4","No"
"Spare_DI_c5","Spare","DI","%I5.2","Spare DI c5","No"
"Spare_DI_c6","Spare","DI","%I5.3","Spare DI c6","No"
"Spare_DI_c7","Spare","DI","%I5.4","Spare DI c7","No"
