Tag,Description,Signal Type,PLC Address,Module,Subsystem,Device,Safety
ECB_Trip,ECB Trip,DI,I0.0,CPU 1214C,Power Distribution,ECB1,No
SR1_Healthy,Safety Relay Healthy,DI,I0.1,CPU 1214C,Safety,SR1,Yes
MS1_Healthy,Maintenance Switch Healthy,DI,I0.2,CPU 1214C,Safety,MS1,Yes
BR1_Fault,Carriage Braking Resistor Fault,DI,I0.3,CPU 1214C,Carriage Drive,BR1,No
VSD1_CB_Trip,VSD1 CB Trip,DI,I0.4,CPU 1214C,Carriage Drive,VSD1,No
CM1_Fault,Carriage Motor 1 Contactor Fault,DI,I0.5,CPU 1214C,Carriage Motors,CM1,No
CM2_Fault,Carriage Motor 2 Contactor Fault,DI,I0.6,CPU 1214C,Carriage Motors,CM2,No
CM3_Fault,Carriage Motor 3 Contactor Fault,DI,I0.7,CPU 1214C,Carriage Motors,CM3,No
CM4_Fault,Carriage Motor 4 Contactor Fault,DI,I1.0,CPU 1214C,Carriage Motors,CM4,No
CM1_Therm,Carriage Motor 1 Thermistor Fault,DI,I1.1,CPU 1214C,Carriage Motors,CM1,No
CM2_Therm,Carriage Motor 2 Thermistor Fault,DI,I1.2,CPU 1214C,Carriage Motors,CM2,No
CM3_Therm,Carriage Motor 3 Thermistor Fault,DI,I1.3,CPU 1214C,Carriage Motors,CM3,No
CM4_Therm,Carriage Motor 4 Thermistor Fault,DI,I1.4,CPU 1214C,Carriage Motors,CM4,No
Carriage_Brake_Open,Carriage Brake Open,DI,I1.5,CPU 1214C,Carriage Brake,K1,No
Reset_ECB,Reset ECB,DO,Q0.0,CPU 1214C,Power Distribution,ECB1,No
Reset_Safety,Reset Safety Relay,DO,Q0.1,CPU 1214C,Safety,SR1,Yes
Travel_Horn,Travel Horn,DO,Q0.2,CPU 1214C,Indicators,HORN,No
Travel_Strobe,Travel Strobe,DO,Q0.3,CPU 1214C,Indicators,STROBE,No
CM1_Run,Carriage Motor 1 Run,DO,Q0.4,CPU 1214C,Carriage Motors,CM1,No
CM2_Run,Carriage Motor 2 Run,DO,Q0.5,CPU 1214C,Carriage Motors,CM2,No
CM3_Run,Carriage Motor 3 Run,DO,Q0.6,CPU 1214C,Carriage Motors,CM3,No
CM4_Run,Carriage Motor 4 Run,DO,Q0.7,CPU 1214C,Carriage Motors,CM4,No
Carriage_Brake_Rel,Carriage Brake Release,DO,Q1.0,CPU 1214C,Carriage Brake,K1,No
Carriage_Brake_Fault,Carriage Brake Contactor Fault,DI,I2.0,DI16 (PLC1.1),Carriage Brake,K1,No
Rotate_Left,Rotate Left (Pendant),DI,I2.1,DI16 (PLC1.1),Rotator Remote,Pendant,No
Rotate_Left_Fast,Rotate Left Fast (Pendant),DI,I2.2,DI16 (PLC1.1),Rotator Remote,Pendant,No
Reset_PB,Reset Pushbutton,DI,I2.3,DI16 (PLC1.1),Control,PB_Reset,No
EStop_Healthy,E-Stop Healthy,DI,I2.4,DI16 (PLC1.1),Safety,ES1,Yes
BR2_Fault,Rotator Braking Resistor Fault,DI,I2.5,DI16 (PLC1.1),Rotator Drive,BR2,No
VSD2_CB_Trip,Rotator VSD CB Trip,DI,I2.6,DI16 (PLC1.1),Rotator Drive,VSD2,No
M5_Therm,Rotator Motor Thermistor Fault,DI,I2.7,DI16 (PLC1.1),Rotator Motor,M5,No
Rot_Brake_Open,Rotator Brake Open,DI,I3.0,DI16 (PLC1.1),Rotator Brake,K2,No
Rot_Brake_Fault,Rotator Brake Contactor Fault,DI,I3.1,DI16 (PLC1.1),Rotator Brake,K2,No
Fwd_Carriage,Forward Carriage (Pendant),DI,I3.2,DI16 (PLC1.1),Carriage Remote,Pendant,No
Fwd_Fast_Carriage,Forward Fast Carriage (Pendant),DI,I3.3,DI16 (PLC1.1),Carriage Remote,Pendant,No
Rev_Carriage,Reverse Carriage (Pendant),DI,I3.4,DI16 (PLC1.1),Carriage Remote,Pendant,No
Rev_Fast_Carriage,Reverse Fast Carriage (Pendant),DI,I3.5,DI16 (PLC1.1),Carriage Remote,Pendant,No
Rot_Right,Rotate Right (Pendant),DI,I3.6,DI16 (PLC1.1),Rotator Remote,Pendant,No
Rot_Right_Fast,Rotate Right Fast (Pendant),DI,I3.7,DI16 (PLC1.1),Rotator Remote,Pendant,No
Long_Limit_Stop,Longitudinal Limit Stop,DI,I4.0,DI8 (PLC1.2),Carriage Limits,LS1,No
Spare_DI_c1,Spare,DI,I4.1,DI8 (PLC1.2),Spare,,No
Spare_DI_c2,Spare,DI,I4.2,DI8 (PLC1.2),Spare,,No
Spare_DI_c3,Spare,DI,I4.3,DI8 (PLC1.2),Spare,,No
Spare_DI_c4,Spare,DI,I4.4,DI8 (PLC1.2),Spare,,No
Spare_DI_c5,Spare,DI,I4.5,DI8 (PLC1.2),Spare,,No
Spare_DI_c6,Spare,DI,I4.6,DI8 (PLC1.2),Spare,,No
Spare_DI_c7,Spare,DI,I4.7,DI8 (PLC1.2),Spare,,No
VSD1_Speed_Ref,Carriage VSD Speed Reference,AO,AQ0,CPU 1214C (AQ),Carriage Drive,VSD1,No
VSD2_Speed_Ref,Rotator VSD Speed Reference,AO,AQ1,CPU 1214C (AQ),Rotator Drive,VSD2,No
VSD1_Speed_Fb,Carriage VSD Speed Feedback,AI,AI0,CPU 1214C (AI),Carriage Drive,VSD1,No
VSD2_Speed_Fb,Rotator VSD Speed Feedback,AI,AI1,CPU 1214C (AI),Rotator Drive,VSD2,No
