name	category	source	library_name	is_assembly	is_enabled	version
fbIO_AnalogInput	analog_io	library	Open Library V19 PLC_V20	false	true	1
fbIO_AnalogOutput	analog_io	library	Open Library V19 PLC_V20	false	true	1
Conveyor No ZPA	Conveyor	custom		false	true	2
fbIO_DigitalInput	digital_io	library	Open Library V19 PLC_V20	false	true	1
fbIO_DigitalOutput	digital_io	library	Open Library V19 PLC_V20	false	true	1
fbSiwarexU	instrument	library	Open Library V19 PLC_V20	false	true	1
fbSiwarexWP321	instrument	library	Open Library V19 PLC_V20	false	true	1
fbSiwarexWP321_Calibration	instrument	library	Open Library V19 PLC_V20	false	true	1
fbSiwarexWP321Limited_SIMATIC	instrument	library	Open Library V19 PLC_V20	false	true	1
Siemens_SIWAREX_WP251	instrument	library	Open Library V19 PLC_V20	false	true	1
fbPulser	io	library	Open Library V19 PLC_V20	false	true	1
fbPWM	io	library	Open Library V19 PLC_V20	false	true	1
ControlMotor_DOL	Motor	custom		false	true	1
fbAirlock_Motor	Motor	library	Open Library V19 PLC_V20	false	true	1
fbMotor_Reversing	Motor	library	Open Library V19 PLC_V20	false	true	1
fbMotor_SoftStarter	Motor	library	Open Library V19 PLC_V20	false	true	1
fbMotor_SoftStarter_3RW44	Motor	library	Open Library V19 PLC_V20	false	true	1
fbMotorStarter_ET200	Motor	library	Open Library V19 PLC_V20	false	true	1
fbCalculateIntegration	process_control	library	Open Library V19 PLC_V20	false	true	1
fbFIFO	process_control	library	Open Library V19 PLC_V20	false	true	1
fbFlowTotalizer	process_control	library	Open Library V19 PLC_V20	false	true	1
fbHopperLevel	process_control	library	Open Library V19 PLC_V20	false	true	1
fbLevelMonitor	process_control	library	Open Library V19 PLC_V20	false	true	1
fbPID	process_control	library	Open Library V19 PLC_V20	false	true	1
fbPID_Compact	process_control	library	Open Library V19 PLC_V20	false	true	1
fbRateCalc	process_control	library	Open Library V19 PLC_V20	false	true	1
udtHMI_HopperControl_Status	process_control	library	Open Library V19 PLC_V20	false	true	1
Pushbutton	Pushbutton	custom		false	true	3
ControlEStop	Safety	custom		false	true	3
fbAlarmWarning	Safety	library	Open Library V19 PLC_V20	false	true	1
fbInterlock	Safety	library	Open Library V19 PLC_V20	false	true	1
fbPermissive	Safety	library	Open Library V19 PLC_V20	false	true	1
PE_Sensor	Sensor	custom		false	true	8
fbBrabender	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbErrorScroller	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbIntegrator	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbKahanSummation	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbMicroMotion_Modbus	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbMicroMotion_Profibus	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbModbusRTU	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbModbusTCP	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbModbusTCP_Wrapper	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbQueueHandshakes	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbRamp	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbRetentiveTimer	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbRunningAverage	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbRuntimeTimer	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbStacklight	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbSterlco	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fbUSSCyclicInterruptComm	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcAnyBitInDB	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcBitShift_32Bit	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcBitsToByte	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcBitsToWord	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcByteToBits	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcCalculateTimeWindow	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcDateToString	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcFractionalApproximation	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcHMIBitEnable	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcLim	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcPrioritizedQueue	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcReadClockParts	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcReadIB	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcReadID	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcReadInput	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcReadIW	Supplementary	library	Open Library V19 PLC_V20	false	true	1
fcReal2Time_Sec	Supplementary	library	Open Library V19 PLC_V20	false	true	1
