tag,io_address,signal_type,description,subsystem
ECB_TRIP,%I0.0,DI,ECB distribution board trip,Safety & Control
SR1_HEALTHY,%I0.1,DI,Safety relay SR1 healthy feedback,Safety & Control
MS1_HEALTHY,%I0.2,DI,Maintenance switch MS1 healthy,Safety & Control
CARR_BRAKE_RES_FAULT,%I0.3,DI,Carriage braking resistor fault,Carriage
VSD1_CB_TRIP,%I0.4,DI,Carriage VSD1 circuit breaker trip,Carriage
CARR_M1_FAULT,%I0.5,DI,Carriage motor M1 overload fault,Carriage
CARR_M2_FAULT,%I0.6,DI,Carriage motor M2 overload fault,Carriage
CARR_M3_FAULT,%I0.7,DI,Carriage motor M3 overload fault,Carriage
CARR_M4_FAULT,%I1.0,DI,Carriage motor M4 overload fault,Carriage
CARR_M1_THERM,%I1.1,DI,Carriage motor M1 thermistor fault,Carriage
CARR_M2_THERM,%I1.2,DI,Carriage motor M2 thermistor fault,Carriage
CARR_M3_THERM,%I1.3,DI,Carriage motor M3 thermistor fault,Carriage
CARR_M4_THERM,%I1.4,DI,Carriage motor M4 thermistor fault,Carriage
CARR_BRAKE_OPEN,%I1.5,DI,Carriage brake K1 open feedback,Carriage
CARR_BRAKE_FAULT,%I2.0,DI,Carriage brake K1 fault,Carriage
ROT_LEFT,%I2.1,DI,Rotate left command (pendant/wireless),Operator Interface
ROT_LEFT_FAST,%I2.2,DI,Rotate left fast command,Operator Interface
RESET_PB,%I2.3,DI,Reset pushbutton,Operator Interface
ESTOP_HEALTHY,%I2.4,DI,E-Stop ES1 circuit healthy,Safety & Control
ROT_BRAKE_RES_FAULT,%I2.5,DI,Rotator braking resistor fault,Rotator
VSD2_CB_TRIP,%I2.6,DI,Rotator VSD2 circuit breaker trip,Rotator
ROT_M5_THERM,%I2.7,DI,Rotator motor M5 thermistor fault,Rotator
ROT_BRAKE_OPEN,%I3.0,DI,Rotator brake K2 open feedback,Rotator
ROT_BRAKE_FAULT,%I3.1,DI,Rotator brake K2 fault,Rotator
CARR_FWD,%I3.2,DI,Carriage forward command (pendant/wireless),Operator Interface
CARR_FWD_FAST,%I3.3,DI,Carriage forward fast command,Operator Interface
CARR_REV,%I3.4,DI,Carriage reverse command (pendant/wireless),Operator Interface
CARR_REV_FAST,%I3.5,DI,Carriage reverse fast command,Operator Interface
ROT_RIGHT,%I3.6,DI,Rotate right command (pendant/wireless),Operator Interface
ROT_RIGHT_FAST,%I3.7,DI,Rotate right fast command,Operator Interface
CARR_LIMIT_SW,%I4.0,DI,Carriage longitudinal limit switch,Carriage
RESET_ECB,%Q0.0,DO,Reset ECB distribution board,Safety & Control
RESET_SR1,%Q0.1,DO,Reset safety relay SR1,Safety & Control
TRAVEL_HORN,%Q0.2,DO,Travel warning horn,Operator Interface
TRAVEL_STROBE,%Q0.3,DO,Travel warning strobe light,Operator Interface
VSD1_ENABLE,%Q0.4,DO,Carriage VSD1 enable (K1 contactor),Carriage
VSD2_ENABLE,%Q0.5,DO,Rotator VSD2 enable (K2 contactor),Rotator
CARR_BRAKE_REL,%Q0.6,DO,Carriage brake K1 release,Carriage
ROT_BRAKE_REL,%Q0.7,DO,Rotator brake K2 release,Rotator
VSD1_FWD,%Q1.0,DO,Carriage VSD1 forward direction,Carriage
VSD1_REV,%Q1.1,DO,Carriage VSD1 reverse direction,Carriage
VSD2_LEFT,%Q1.2,DO,Rotator VSD2 left direction,Rotator
VSD2_RIGHT,%Q1.3,DO,Rotator VSD2 right direction,Rotator
